model_short,condition,coef,exp(coef),se(coef),p,p_holm
deepseek-flash,all_tools,0.10042964400841325,1.1056458501574273,0.1280787837285075,0.4329673734026226,1.0
deepseek-flash,structural,0.061137673493591525,1.0630452572675966,0.1288984582449977,0.6352797146825312,1.0
deepseek-flash,temporal_cochange,0.05787392640298068,1.0595814020504566,0.128671628871956,0.6528690737393215,1.0
deepseek-flash,temporal_frequency,-0.008338232653172307,0.9916964339889607,0.13035236840571152,0.9489966088146137,1.0
gpt-oss-120b,all_tools,-0.17934519822378572,0.835817326935883,0.13926310785080473,0.1978101720102637,0.7912406880410549
gpt-oss-120b,structural,-0.00636059072491271,0.9936595950118602,0.13773530679538057,0.9631669321202482,1.0
gpt-oss-120b,temporal_cochange,-0.057380109766031064,0.9442350881662743,0.14284665278227376,0.6879119901071167,1.0
gpt-oss-120b,temporal_frequency,-0.1651931968738221,0.8477299094977634,0.13737741162656678,0.22917871825306285,0.7912406880410549
ministral-3b,all_tools,-0.00840032441189147,0.9916348597249057,0.14899707318982405,0.9550397874178018,0.9550397874178018
ministral-3b,structural,0.14297147342187447,1.1536968901721159,0.14709101684122125,0.3310539136622714,0.6621078273245428
ministral-3b,temporal_cochange,0.2360298258823568,1.2662120754960875,0.14298968097484274,0.09880447772542605,0.3952179109017042
ministral-3b,temporal_frequency,0.20832944363467698,1.23161885171154,0.14379515751216196,0.14739534872980684,0.4421860461894205
nemotron-super,all_tools,0.16397647200098286,1.1781865943935823,0.13960380333397426,0.2401609631726846,0.9606438526907384
nemotron-super,structural,-0.03246468206367406,0.968056638990293,0.1379663213901385,0.8139691074340734,1.0
nemotron-super,temporal_cochange,0.1265945171407317,1.1349567189706002,0.13869114932159934,0.3613582216591137,1.0
nemotron-super,temporal_frequency,0.06505892828295991,1.0672219120860587,0.13909524108246454,0.6399781413522859,1.0
