condition,coef,exp(coef),se(coef),p,p_holm
all_tools,0.02303850671578469,1.0233059429396705,0.06922822733974347,0.7392923172115506,1.0
structural,0.04196205924074544,1.0428549112930314,0.06868665949490671,0.5412524932808982,1.0
temporal_cochange,0.08912138624903417,1.093213349340484,0.06887524513898535,0.19568137405315583,0.7827254962126233
temporal_frequency,0.020632234666285845,1.0208465506212725,0.06866646112548018,0.7638184198837704,1.0
