model_short,comparison,n,median_diff,wilcoxon_stat,p_raw,effect_size_r,p_holm
deepseek-flash,structural_vs_baseline,51,0.0,55.5,0.7967843300920799,0.075,1.0
deepseek-flash,temporal_frequency_vs_baseline,51,0.0,6.0,0.0033980871444478484,0.8857142857142857,0.013592348577791393
deepseek-flash,temporal_cochange_vs_baseline,51,0.0,31.5,0.5553845195134539,0.19230769230769232,1.0
deepseek-flash,all_tools_vs_baseline,51,0.0,78.0,0.7421141205672163,0.08771929824561403,1.0
gpt-oss-120b,structural_vs_baseline,51,0.0,38.0,0.36030900987576,0.2761904761904762,1.0
gpt-oss-120b,temporal_frequency_vs_baseline,51,0.0,38.0,0.36150066321783125,0.2761904761904762,1.0
gpt-oss-120b,temporal_cochange_vs_baseline,51,0.0,6.0,0.09209091592891183,0.6666666666666666,0.3683636637156473
gpt-oss-120b,all_tools_vs_baseline,51,0.0,65.0,0.5850154781318643,0.1503267973856209,1.0
ministral-3b,structural_vs_baseline,51,0.0,58.0,0.5975883730397313,0.14705882352941177,0.5975883730397313
ministral-3b,temporal_frequency_vs_baseline,51,0.0,58.0,0.04451459163864263,0.49783549783549785,0.09549155306276398
ministral-3b,temporal_cochange_vs_baseline,51,0.0,24.5,0.023872888265690995,0.6397058823529411,0.09549155306276398
ministral-3b,all_tools_vs_baseline,51,0.0,45.5,0.024137300134998776,0.5666666666666667,0.09549155306276398
nemotron-super,structural_vs_baseline,51,0.0,30.0,0.7874064906662692,-0.09090909090909091,1.0
nemotron-super,temporal_frequency_vs_baseline,51,0.0,55.0,0.7752754023873508,-0.08333333333333333,1.0
nemotron-super,temporal_cochange_vs_baseline,51,0.0,13.5,0.1438541165624064,-0.509090909090909,0.5754164662496256
nemotron-super,all_tools_vs_baseline,51,0.0,33.0,1.0,0.0,1.0
