comparison,n,n_discordant_pairs,ref_fail_cond_succeed,ref_succeed_cond_fail,statistic,p_raw,p_holm
structural_vs_baseline,540,29,18,11,1.241,0.2652053925915044,0.6338986420011209
temporal_frequency_vs_baseline,540,23,9,14,0.696,0.4042484947394712,0.6338986420011209
temporal_cochange_vs_baseline,540,16,11,5,1.562,0.21129954733370696,0.6338986420011209
all_tools_vs_baseline,540,22,15,7,2.227,0.13559300126630158,0.5423720050652063
