comparison,n,n_discordant_pairs,ref_fail_cond_succeed,ref_succeed_cond_fail,statistic,p_raw,p_holm
structural_vs_baseline,540,44,26,18,1.114,0.2912928476178098,1.0
temporal_frequency_vs_baseline,540,59,31,28,0.068,0.7945723486232792,1.0
temporal_cochange_vs_baseline,540,51,22,29,0.706,0.40081416938293424,1.0
all_tools_vs_baseline,540,46,19,27,1.065,0.3020282281097738,1.0
