comparison,n,n_nonzero_diff,median_diff,wilcoxon_stat,p_raw,effect_size_r,p_holm
structural_vs_baseline,540,103,0.0,2476.5,0.5059646366411583,0.07524271844660194,1.0
temporal_frequency_vs_baseline,540,117,0.0,3235.5,0.5552598746238275,0.06258148631029987,1.0
temporal_cochange_vs_baseline,540,105,0.0,2350.5,0.16547594565749946,-0.15525606469002695,0.49642783697249837
all_tools_vs_baseline,540,104,0.0,2162.5,0.06479426103477712,-0.2078754578754579,0.25917704413910847
