comparison,n,n_discordant_pairs,ref_fail_cond_succeed,ref_succeed_cond_fail,statistic,p_raw,model_short,p_holm
structural_vs_baseline,135,17,8,9,0.0,1.0,deepseek-flash,1.0
temporal_frequency_vs_baseline,135,16,7,9,0.062,0.8025873486341526,deepseek-flash,1.0
temporal_cochange_vs_baseline,135,11,7,4,0.364,0.5464935954065822,deepseek-flash,1.0
all_tools_vs_baseline,135,13,8,5,0.308,0.5790997419539188,deepseek-flash,1.0
structural_vs_baseline,135,5,5,0,3.2,0.07363827012030258,gpt-oss-120b,0.2945530804812103
temporal_frequency_vs_baseline,135,0,0,0,0.0,1.0,gpt-oss-120b,1.0
temporal_cochange_vs_baseline,135,2,2,0,0.5,0.47950012218695337,gpt-oss-120b,1.0
all_tools_vs_baseline,135,2,2,0,0.5,0.47950012218695337,gpt-oss-120b,1.0
structural_vs_baseline,135,3,3,0,1.333,0.24821307898992026,ministral-3b,0.992852315959681
temporal_frequency_vs_baseline,135,2,2,0,0.5,0.47950012218695337,ministral-3b,0.992852315959681
temporal_cochange_vs_baseline,135,2,2,0,0.5,0.47950012218695337,ministral-3b,0.992852315959681
all_tools_vs_baseline,135,3,3,0,1.333,0.24821307898992026,ministral-3b,0.992852315959681
structural_vs_baseline,135,4,2,2,0.25,0.6170750774519739,nemotron-super,1.0
temporal_frequency_vs_baseline,135,5,0,5,3.2,0.07363827012030258,nemotron-super,0.2945530804812103
temporal_cochange_vs_baseline,135,1,0,1,0.0,1.0,nemotron-super,1.0
all_tools_vs_baseline,135,4,2,2,0.25,0.6170750774519739,nemotron-super,1.0
