"outcome","test","chisq","df","p_value","aic_full","aic_reduced"
"f1","three_way_interaction_LRT",13.8167279196318,12,0.312564564501822,2378.00964696299,2367.82637488262
"success","three_way_interaction_LRT",7.2958907108864,12,0.837456471474421,1319.79840610148,1303.09429681237
