metric,n,friedman_stat,p_value
tokens,540,105.78370370370249,5.766120451321198e-22
cost,540,18.516158903600886,0.0009779873549487033
wall_time,540,132.98527641448177,8.95097911767947e-28
turns,540,18.87231614977582,0.0008326629990236999
