model_short,comparison,n,median_diff,wilcoxon_stat,p_raw,effect_size_r,p_holm
deepseek-flash,structural_vs_baseline,135,0.0,215.5,0.24461715810933204,0.23172905525846701,0.7338514743279961
deepseek-flash,temporal_frequency_vs_baseline,135,0.0,469.0,0.9613787117148405,0.008456659619450317,0.9613787117148405
deepseek-flash,temporal_cochange_vs_baseline,135,0.0,173.5,0.14319693580532925,-0.3004032258064516,0.572787743221317
deepseek-flash,all_tools_vs_baseline,135,0.0,208.5,0.2983726201931566,-0.21022727272727273,0.7338514743279961
gpt-oss-120b,structural_vs_baseline,135,0.0,46.5,0.08850882945789529,0.45614035087719296,0.26552648837368586
gpt-oss-120b,temporal_frequency_vs_baseline,135,0.0,47.0,0.7293780329576605,-0.10476190476190476,0.7293780329576605
gpt-oss-120b,temporal_cochange_vs_baseline,135,0.0,25.0,0.025908826219193277,-0.6323529411764706,0.10363530487677311
gpt-oss-120b,all_tools_vs_baseline,135,0.0,27.0,0.10837220267448015,-0.4857142857142857,0.26552648837368586
ministral-3b,structural_vs_baseline,135,0.0,115.5,0.7165829343747565,-0.08695652173913043,0.9979033786192693
ministral-3b,temporal_frequency_vs_baseline,135,0.0,186.0,0.21646245162415112,0.25,0.6493873548724534
ministral-3b,temporal_cochange_vs_baseline,135,0.0,214.0,0.4989516893096346,0.13709677419354838,0.9979033786192693
ministral-3b,all_tools_vs_baseline,135,0.0,191.5,0.10822711793946937,-0.3172905525846702,0.4329084717578775
nemotron-super,structural_vs_baseline,135,0.0,209.0,0.6270886498030432,-0.1010752688172043,1.0
nemotron-super,temporal_frequency_vs_baseline,135,0.0,211.5,0.8959869601998491,-0.027586206896551724,1.0
nemotron-super,temporal_cochange_vs_baseline,135,0.0,166.5,0.5861348865907527,-0.11904761904761904,1.0
nemotron-super,all_tools_vs_baseline,135,0.0,153.0,0.7967666358452131,0.05846153846153846,1.0
