tool,n_trials,n_trials_used_at_least_once,pct_trials_used_at_least_once,total_calls_across_all_trials,mean_calls_given_used
lookup_structure,540,318,58.9,521,1.638
lookup_frequency,540,53,9.8,91,1.717
lookup_cochange,540,59,10.9,69,1.169
