"outcome","test","chisq","df","p_value","aic_full","aic_reduced"
"total_input_tokens","three_way_interaction_LRT",8.3488143349532,12,0.757312303982045,67062.6326256391,67046.981439974
"total_cost","three_way_interaction_LRT",10.6254781581665,12,0.561258173008791,-23398.380470233,-23411.7549920748
"wall_time_seconds","three_way_interaction_LRT",10.8662600511125,12,0.540413727643215,25720.1896553874,25707.0559154385
