map_condition,model,n_trials,n_used_tool,pct_used_tool
structural,ALL,540,342,63.3
structural,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,135,51,37.8
structural,deepseek/deepseek-v4-flash,135,99,73.3
structural,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,135,77,57.0
structural,mistral/ministral-3b-latest,135,115,85.2
temporal_frequency,ALL,540,81,15.0
temporal_frequency,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,135,1,0.7
temporal_frequency,deepseek/deepseek-v4-flash,135,48,35.6
temporal_frequency,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,135,0,0.0
temporal_frequency,mistral/ministral-3b-latest,135,32,23.7
temporal_cochange,ALL,540,100,18.5
temporal_cochange,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,135,4,3.0
temporal_cochange,deepseek/deepseek-v4-flash,135,54,40.0
temporal_cochange,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,135,1,0.7
temporal_cochange,mistral/ministral-3b-latest,135,41,30.4
all_tools,ALL,540,327,60.6
all_tools,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,135,55,40.7
all_tools,deepseek/deepseek-v4-flash,135,104,77.0
all_tools,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,135,57,42.2
all_tools,mistral/ministral-3b-latest,135,111,82.2
