thefuck/rules/fix_alt_space.py  [4 edits, last: 2017-08-31]
thefuck/rules/git_pull_uncommitted_changes.py  [4 edits, last: 2017-08-31]
thefuck/rules/git_push_without_commits.py  [4 edits, last: 2017-08-31]
thefuck/rules/go_run.py  [4 edits, last: 2015-09-07]
thefuck/rules/java.py  [4 edits, last: 2015-09-07]
thefuck/rules/man_no_space.py  [4 edits, last: 2017-08-31]
thefuck/rules/missing_space_before_subcommand.py  [4 edits, last: 2017-08-25]
thefuck/rules/mvn_no_command.py  [4 edits, last: 2017-08-31]
thefuck/rules/remove_trailing_cedilla.py  [4 edits, last: 2016-10-02]
thefuck/rules/workon_doesnt_exists.py  [4 edits, last: 2016-10-07]
thefuck/rules/yarn_help.py  [4 edits, last: 2017-08-31]
thefuck/specific/brew.py  [4 edits, last: 2017-10-25]
thefuck/exceptions.py  [3 edits, last: 2017-08-25]
thefuck/entrypoints/not_configured.py  [3 edits, last: 2018-02-23]
thefuck/entrypoints/shell_logger.py  [3 edits, last: 2018-03-19]
thefuck/rules/apt_list_upgradable.py  [3 edits, last: 2019-08-19]
thefuck/rules/aws_cli.py  [3 edits, last: 2018-10-30]
thefuck/rules/brew_link.py  [3 edits, last: 2017-08-31]
thefuck/rules/brew_uninstall.py  [3 edits, last: 2017-08-31]
thefuck/rules/cat_dir.py  [3 edits, last: 2018-07-11]
thefuck/rules/cd_parent.py  [3 edits, last: 2015-09-07]
thefuck/rules/django_south_ghost.py  [3 edits, last: 2017-08-31]
thefuck/rules/django_south_merge.py  [3 edits, last: 2017-08-31]
thefuck/rules/gem_unknown_command.py  [3 edits, last: 2017-09-02]
thefuck/rules/git_add_force.py  [3 edits, last: 2017-08-31]
thefuck/rules/git_diff_no_index.py  [3 edits, last: 2017-08-31]
thefuck/rules/git_rebase_merge_dir.py  [3 edits, last: 2018-10-08]
thefuck/rules/git_rebase_no_changes.py  [3 edits, last: 2017-08-31]
thefuck/rules/git_remote_seturl_add.py  [3 edits, last: 2017-10-08]
thefuck/rules/git_rm_recursive.py  [3 edits, last: 2017-08-31]
thefuck/rules/git_stash_pop.py  [3 edits, last: 2017-08-31]
thefuck/rules/gradle_no_task.py  [3 edits, last: 2017-08-31]
thefuck/rules/grunt_task_not_found.py  [3 edits, last: 2017-09-02]
thefuck/rules/npm_run_script.py  [3 edits, last: 2017-08-31]
thefuck/rules/npm_wrong_command.py  [3 edits, last: 2017-08-31]
thefuck/rules/php_s.py  [3 edits, last: 2017-10-16]
thefuck/rules/port_already_in_use.py  [3 edits, last: 2017-08-31]
thefuck/rules/python_execute.py  [3 edits, last: 2015-09-07]
thefuck/rules/quotation_marks.py  [3 edits, last: 2015-09-07]
thefuck/rules/react_native_command_unrecognized.py  [3 edits, last: 2017-08-31]
thefuck/rules/test.py.py  [3 edits, last: 2017-08-31]
thefuck/rules/yarn_alias.py  [3 edits, last: 2017-08-31]
thefuck/entrypoints/alias.py  [2 edits, last: 2017-09-03]
thefuck/entrypoints/fix_command.py  [2 edits, last: 2020-11-18]
thefuck/output_readers/shell_logger.py  [2 edits, last: 2018-05-14]
thefuck/rules/az_cli.py  [2 edits, last: 2018-10-30]
thefuck/rules/brew_cask_dependency.py  [2 edits, last: 2017-10-15]
thefuck/rules/cargo.py  [2 edits, last: 2015-09-07]
thefuck/rules/chmod_x.py  [2 edits, last: 2017-08-31]
thefuck/rules/git_bisect_usage.py  [2 edits, last: 2017-08-31]
thefuck/rules/git_help_aliased.py  [2 edits, last: 2017-08-31]
thefuck/rules/git_rm_local_modifications.py  [2 edits, last: 2017-08-31]
thefuck/rules/git_rm_staged.py  [2 edits, last: 2017-08-31]
thefuck/rules/git_tag_force.py  [2 edits, last: 2017-08-31]
thefuck/rules/git_two_dashes.py  [2 edits, last: 2017-08-31]
thefuck/rules/gradle_wrapper.py  [2 edits, last: 2017-08-31]
thefuck/rules/grep_arguments_order.py  [2 edits, last: 2017-08-31]
thefuck/rules/heroku_multiple_apps.py  [2 edits, last: 2018-10-30]
thefuck/rules/ln_s_order.py  [2 edits, last: 2017-08-31]
thefuck/rules/ls_all.py  [2 edits, last: 2017-08-31]
thefuck/rules/npm_missing_script.py  [2 edits, last: 2017-08-31]
thefuck/rules/pacman_invalid_option.py  [2 edits, last: 2020-04-06]
thefuck/rules/path_from_history.py  [2 edits, last: 2017-08-31]
thefuck/rules/prove_recursively.py  [2 edits, last: 2017-10-15]
thefuck/rules/scm_correction.py  [2 edits, last: 2017-08-31]
thefuck/rules/sl_ls.py  [2 edits, last: 2015-09-07]
thefuck/rules/sudo_command_from_user_path.py  [2 edits, last: 2017-08-31]
thefuck/rules/yarn_command_replaced.py  [2 edits, last: 2017-08-31]
thefuck/system/__init__.py  [2 edits, last: 2016-10-06]
thefuck/__init__.py  [1 edits, last: 2015-04-17]
thefuck/entrypoints/__init__.py  [1 edits, last: 2017-09-02]
thefuck/rules/__init__.py  [1 edits, last: 2015-04-17]
thefuck/rules/adb_unknown_command.py  [1 edits, last: 2018-01-05]
thefuck/rules/apt_upgrade.py  [1 edits, last: 2018-01-03]
thefuck/rules/brew_reinstall.py  [1 edits, last: 2018-05-22]
thefuck/rules/cd_cs.py  [1 edits, last: 2021-03-22]
thefuck/rules/choco_install.py  [1 edits, last: 2019-11-07]
thefuck/rules/conda_mistype.py  [1 edits, last: 2021-02-08]
thefuck/rules/cp_create_destination.py  [1 edits, last: 2020-03-01]
thefuck/rules/docker_image_being_used_by_container.py  [1 edits, last: 2019-07-10]
thefuck/rules/docker_login.py  [1 edits, last: 2019-04-04]
thefuck/rules/git_branch_delete_checked_out.py  [1 edits, last: 2019-10-23]
thefuck/rules/git_clone_git_clone.py  [1 edits, last: 2020-07-16]
thefuck/rules/git_commit_amend.py  [1 edits, last: 2018-01-05]
thefuck/rules/git_commit_reset.py  [1 edits, last: 2019-02-25]
thefuck/rules/git_hook_bypass.py  [1 edits, last: 2020-07-16]
thefuck/rules/git_lfs_mistype.py  [1 edits, last: 2020-06-11]
thefuck/rules/git_merge.py  [1 edits, last: 2018-01-02]
thefuck/rules/git_merge_unrelated.py  [1 edits, last: 2018-01-16]
thefuck/rules/git_push_different_branch_names.py  [1 edits, last: 2017-10-15]
thefuck/rules/go_unknown_command.py  [1 edits, last: 2019-08-21]
thefuck/rules/long_form_help.py  [1 edits, last: 2018-05-22]
thefuck/rules/nixos_cmd_not_found.py  [1 edits, last: 2019-06-26]
thefuck/rules/omnienv_no_such_command.py  [1 edits, last: 2021-02-11]
thefuck/rules/pip_install.py  [1 edits, last: 2019-04-24]
thefuck/rules/python_module_error.py  [1 edits, last: 2021-01-19]
thefuck/rules/remove_shell_prompt_literal.py  [1 edits, last: 2019-11-02]
thefuck/rules/terraform_init.py  [1 edits, last: 2019-06-26]
thefuck/rules/unsudo.py  [1 edits, last: 2018-02-22]
thefuck/rules/yum_invalid_operation.py  [1 edits, last: 2019-10-19]
thefuck/specific/__init__.py  [1 edits, last: 2015-08-25]
thefuck/specific/apt.py  [1 edits, last: 2016-02-06]
thefuck/specific/dnf.py  [1 edits, last: 2017-10-05]
thefuck/specific/nix.py  [1 edits, last: 2019-06-26]
thefuck/specific/npm.py  [1 edits, last: 2016-08-13]
thefuck/specific/yum.py  [1 edits, last: 2019-10-19]
