pandas/core/frame.py  [2135 edits, last: 2020-03-27]
pandas/core/series.py  [1385 edits, last: 2020-03-26]
pandas/core/generic.py  [1159 edits, last: 2020-03-27]
pandas/core/index.py  [748 edits, last: 2020-01-10]
pandas/io/parsers.py  [622 edits, last: 2020-03-16]
pandas/core/common.py  [604 edits, last: 2020-03-24]
pandas/io/pytables.py  [587 edits, last: 2020-03-21]
pandas/util/testing.py  [481 edits, last: 2020-01-06]
pandas/core/indexing.py  [457 edits, last: 2020-03-16]
pandas/core/indexes/base.py  [446 edits, last: 2020-03-26]
pandas/tests/test_multilevel.py  [329 edits, last: 2020-03-02]
pandas/core/indexes/datetimes.py  [297 edits, last: 2020-03-24]
pandas/core/base.py  [281 edits, last: 2020-03-24]
pandas/core/strings.py  [260 edits, last: 2020-03-24]
pandas/core/algorithms.py  [248 edits, last: 2020-03-24]
pandas/core/indexes/multi.py  [233 edits, last: 2020-03-27]
pandas/tseries/offsets.py  [233 edits, last: 2020-03-13]
pandas/tests/indexes/test_base.py  [213 edits, last: 2020-03-24]
pandas/core/arrays/categorical.py  [201 edits, last: 2020-03-26]
pandas/io/sql.py  [200 edits, last: 2020-03-10]
pandas/core/indexes/datetimelike.py  [195 edits, last: 2020-03-21]
pandas/core/internals/blocks.py  [194 edits, last: 2020-03-27]
pandas/tests/test_strings.py  [192 edits, last: 2020-03-24]
pandas/core/indexes/period.py  [188 edits, last: 2020-03-27]
pandas/core/indexes/timedeltas.py  [184 edits, last: 2020-03-27]
pandas/core/nanops.py  [182 edits, last: 2020-03-27]
pandas/io/stata.py  [174 edits, last: 2020-03-21]
pandas/core/indexes/interval.py  [170 edits, last: 2020-03-24]
pandas/tests/test_algos.py  [170 edits, last: 2020-03-14]
pandas/core/arrays/datetimes.py  [169 edits, last: 2020-03-21]
pandas/tseries/frequencies.py  [169 edits, last: 2020-03-27]
pandas/core/groupby/groupby.py  [159 edits, last: 2020-03-26]
pandas/tests/series/test_analytics.py  [158 edits, last: 2020-03-21]
pandas/tests/test_common.py  [149 edits, last: 2020-03-16]
pandas/tests/frame/test_constructors.py  [146 edits, last: 2020-03-21]
pandas/tests/frame/test_analytics.py  [145 edits, last: 2020-03-21]
pandas/tests/groupby/test_groupby.py  [145 edits, last: 2020-03-24]
pandas/core/arrays/datetimelike.py  [143 edits, last: 2020-03-25]
pandas/core/groupby/generic.py  [143 edits, last: 2020-03-26]
pandas/io/formats/format.py  [143 edits, last: 2020-03-21]
pandas/__init__.py  [140 edits, last: 2020-02-28]
pandas/core/indexes/category.py  [140 edits, last: 2020-03-25]
pandas/plotting/_core.py  [134 edits, last: 2020-02-13]
pandas/core/internals/managers.py  [120 edits, last: 2020-03-25]
pandas/io/common.py  [120 edits, last: 2020-02-28]
pandas/core/arrays/period.py  [117 edits, last: 2020-03-21]
pandas/core/dtypes/cast.py  [115 edits, last: 2020-03-26]
pandas/tests/series/test_constructors.py  [114 edits, last: 2020-03-25]
pandas/core/reshape/merge.py  [112 edits, last: 2020-03-27]
pandas/core/config_init.py  [110 edits, last: 2020-02-02]
pandas/core/resample.py  [110 edits, last: 2020-03-27]
pandas/tests/indexes/common.py  [110 edits, last: 2020-03-24]
pandas/core/api.py  [107 edits, last: 2019-12-27]
pandas/core/dtypes/dtypes.py  [107 edits, last: 2020-03-18]
pandas/conftest.py  [105 edits, last: 2020-03-25]
pandas/io/html.py  [104 edits, last: 2020-02-28]
pandas/tests/indexing/test_indexing.py  [98 edits, last: 2020-03-21]
pandas/tests/series/test_missing.py  [97 edits, last: 2020-03-24]
pandas/tests/series/test_operators.py  [97 edits, last: 2020-03-24]
pandas/compat/__init__.py  [95 edits, last: 2020-01-13]
pandas/core/arrays/timedeltas.py  [94 edits, last: 2020-03-19]
pandas/core/indexes/range.py  [94 edits, last: 2020-03-27]
pandas/tests/reshape/test_concat.py  [92 edits, last: 2020-03-25]
pandas/core/dtypes/common.py  [91 edits, last: 2020-03-24]
pandas/tests/io/formats/test_format.py  [91 edits, last: 2020-03-20]
pandas/core/tools/datetimes.py  [90 edits, last: 2020-03-25]
pandas/tests/indexes/test_numeric.py  [90 edits, last: 2020-03-24]
pandas/tests/plotting/test_frame.py  [90 edits, last: 2020-03-25]
pandas/tests/series/test_timeseries.py  [88 edits, last: 2020-03-21]
pandas/core/groupby/ops.py  [86 edits, last: 2020-03-24]
pandas/tests/frame/test_alter_axes.py  [85 edits, last: 2020-03-02]
pandas/core/arrays/base.py  [84 edits, last: 2020-03-26]
pandas/tests/frame/test_operators.py  [84 edits, last: 2020-03-21]
pandas/tests/dtypes/test_inference.py  [83 edits, last: 2020-03-21]
pandas/core/reshape/reshape.py  [82 edits, last: 2020-03-26]
pandas/tests/api/test_api.py  [81 edits, last: 2020-02-15]
pandas/tests/io/json/test_pandas.py  [80 edits, last: 2020-03-19]
pandas/tests/plotting/test_datetimelike.py  [80 edits, last: 2020-03-04]
pandas/io/formats/style.py  [78 edits, last: 2020-03-20]
pandas/tests/test_nanops.py  [78 edits, last: 2020-03-21]
pandas/tests/indexes/period/test_period.py  [78 edits, last: 2020-03-24]
pandas/core/indexes/numeric.py  [77 edits, last: 2020-03-27]
pandas/tests/series/test_api.py  [77 edits, last: 2020-02-20]
pandas/core/ops/__init__.py  [76 edits, last: 2020-03-21]
pandas/tests/indexes/datetimes/test_ops.py  [76 edits, last: 2020-03-24]
pandas/tests/frame/test_dtypes.py  [75 edits, last: 2020-03-24]
pandas/core/arrays/integer.py  [74 edits, last: 2020-03-27]
pandas/tests/frame/test_to_csv.py  [73 edits, last: 2020-03-21]
pandas/tests/reshape/test_pivot.py  [73 edits, last: 2020-03-14]
pandas/tests/series/test_dtypes.py  [73 edits, last: 2020-03-11]
pandas/tests/test_expressions.py  [71 edits, last: 2020-01-03]
pandas/tests/frame/test_api.py  [71 edits, last: 2020-03-21]
pandas/tests/tseries/offsets/test_offsets.py  [70 edits, last: 2020-01-08]
pandas/core/reshape/pivot.py  [69 edits, last: 2020-03-24]
pandas/tests/frame/test_apply.py  [69 edits, last: 2020-03-24]
pandas/tests/frame/test_timeseries.py  [68 edits, last: 2020-03-15]
pandas/core/arrays/interval.py  [67 edits, last: 2020-03-24]
pandas/tests/indexing/test_loc.py  [67 edits, last: 2020-03-16]
pandas/tests/io/test_html.py  [67 edits, last: 2020-02-14]
pandas/tests/io/test_sql.py  [67 edits, last: 2020-03-11]
pandas/tests/io/test_stata.py  [67 edits, last: 2020-03-11]
pandas/core/reshape/concat.py  [66 edits, last: 2020-03-25]
pandas/io/gbq.py  [66 edits, last: 2020-01-23]
pandas/tests/internals/test_internals.py  [66 edits, last: 2020-03-21]
pandas/core/groupby/grouper.py  [65 edits, last: 2020-02-13]
pandas/tests/dtypes/test_dtypes.py  [65 edits, last: 2020-03-21]
pandas/tests/frame/test_axis_select_reindex.py  [65 edits, last: 2020-03-26]
pandas/tests/indexes/datetimes/test_datetime.py  [64 edits, last: 2020-03-24]
pandas/core/dtypes/concat.py  [63 edits, last: 2020-02-15]
pandas/tests/arithmetic/test_datetime64.py  [63 edits, last: 2020-03-02]
pandas/tests/series/test_datetime_values.py  [62 edits, last: 2020-02-27]
pandas/tests/frame/test_missing.py  [60 edits, last: 2020-03-24]
pandas/tests/groupby/test_categorical.py  [60 edits, last: 2020-03-11]
pandas/tests/indexes/datetimes/test_date_range.py  [60 edits, last: 2020-03-23]
pandas/tests/frame/test_reshape.py  [59 edits, last: 2020-03-26]
pandas/tests/reshape/merge/test_merge.py  [59 edits, last: 2020-03-26]
pandas/tests/computation/test_eval.py  [58 edits, last: 2020-03-10]
pandas/tests/dtypes/test_common.py  [58 edits, last: 2020-03-07]
pandas/tests/indexes/interval/test_interval.py  [56 edits, last: 2020-03-25]
pandas/tests/io/formats/test_to_html.py  [56 edits, last: 2020-02-13]
pandas/tests/series/test_apply.py  [56 edits, last: 2020-03-25]
pandas/tests/arithmetic/test_timedelta64.py  [55 edits, last: 2020-03-02]
pandas/tests/frame/test_query_eval.py  [55 edits, last: 2020-02-11]
pandas/tests/groupby/test_transform.py  [55 edits, last: 2020-03-11]
pandas/tests/indexes/timedeltas/test_timedelta.py  [54 edits, last: 2020-03-25]
pandas/tests/io/test_parquet.py  [54 edits, last: 2020-02-12]
pandas/core/missing.py  [53 edits, last: 2020-02-28]
pandas/core/dtypes/missing.py  [53 edits, last: 2020-03-24]
pandas/io/excel/_base.py  [53 edits, last: 2020-03-12]
pandas/tests/indexing/test_iloc.py  [53 edits, last: 2020-03-21]
pandas/tests/series/test_alter_axes.py  [53 edits, last: 2020-03-02]
pandas/plotting/_misc.py  [52 edits, last: 2020-02-13]
pandas/tests/frame/test_repr_info.py  [52 edits, last: 2020-03-25]
pandas/tests/indexing/test_floats.py  [52 edits, last: 2020-03-02]
pandas/tests/io/test_common.py  [52 edits, last: 2020-03-21]
pandas/tests/plotting/test_series.py  [52 edits, last: 2020-03-25]
pandas/core/internals/construction.py  [51 edits, last: 2020-03-20]
pandas/core/reshape/tile.py  [51 edits, last: 2020-03-27]
pandas/tests/indexes/period/test_indexing.py  [51 edits, last: 2020-03-08]
pandas/tests/io/test_pickle.py  [50 edits, last: 2020-02-21]
pandas/tests/plotting/test_misc.py  [50 edits, last: 2020-03-25]
pandas/tests/reshape/test_reshape.py  [50 edits, last: 2020-01-30]
pandas/tests/series/test_combine_concat.py  [50 edits, last: 2020-03-02]
pandas/io/parquet.py  [49 edits, last: 2020-02-12]
