batch,requested_model,task_idx,map_type,rep,input_tokens,output_tokens,cost,turns,wall_time,stop_reason,precision,recall,f1,model
batch1_medium,mistral/devstral-medium-latest,14,none,3,212985,1705,0.036617,20,85.25,max_turns,0.0,0.0,0.0,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,14,none,4,300001,891,0.069962,20,140.66,max_turns,0.5,1.0,0.6667,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,15,ast_compact,0,41387,496,0.010878,5,21.13,submitted,1.0,1.0,1.0,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,15,ast_compact,1,78058,561,0.018208,9,89.33,submitted,1.0,1.0,1.0,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,15,ast_compact,2,41491,462,0.004855,5,9.28,submitted,1.0,1.0,1.0,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,15,ast_compact,3,58282,500,0.008518,7,12.33,submitted,1.0,1.0,1.0,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,15,ast_compact,4,60038,468,0.012017,7,11.71,submitted,1.0,1.0,1.0,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,15,ast,0,200522,686,0.0456,11,89.46,submitted,1.0,1.0,1.0,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,15,ast,1,123353,564,0.029106,7,69.46,submitted,1.0,1.0,1.0,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,15,ast,2,182048,923,0.012496,10,29.57,submitted,1.0,1.0,1.0,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,15,ast,3,220855,842,0.060106,12,38.57,submitted,1.0,1.0,1.0,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,15,ast,4,405778,1095,0.068597,20,49.86,max_turns,1.0,1.0,1.0,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,15,none,0,16188,483,0.005201,8,83.51,submitted,1.0,1.0,1.0,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,15,none,1,26707,644,0.006409,11,48.03,submitted,1.0,1.0,1.0,devstral-medium-2512
batch1_medium,mistral/devstral-medium-latest,15,none,2,23161,672,0.005079,10,30.49,submitted,1.0,1.0,1.0,devstral-medium-2512
