model_dir,model_short,model,task_idx,map_type,rep,issue_title,base_commit,input_tokens,output_tokens,cost,turns,wall_time,stop_reason,precision,recall,f1,empty_prediction,n_predicted_files,n_ground_truth_files,model_pair,pair_name,model_size,provider,architecture,task_type,cached_tokens,cost_usd,cost_usd_uncached
fireworks_ai_accounts_fireworks_models_gpt-oss-20b,gpt-oss-20b,fireworks_ai/accounts/fireworks/models/gpt-oss-20b,4,ast,2,Requests doesn't catch requests.packages.urllib3.exceptions.ProxyError,9968a10fcfad7268b552808c4f8946eecafc956a,196377,5378,0.01536,14,303.92,submitted,1.0,0.5,0.6667,False,1,2,2,gpt-oss,small,fireworks,MoE,multi_file,58545,0.01536,0.01536
fireworks_ai_accounts_fireworks_models_gpt-oss-20b,gpt-oss-20b,fireworks_ai/accounts/fireworks/models/gpt-oss-20b,4,ast,3,Requests doesn't catch requests.packages.urllib3.exceptions.ProxyError,9968a10fcfad7268b552808c4f8946eecafc956a,170027,7267,0.014082,13,558.48,submitted,0.0,0.0,0.0,True,0,2,2,gpt-oss,small,fireworks,MoE,multi_file,33278,0.014082,0.014082
fireworks_ai_accounts_fireworks_models_gpt-oss-20b,gpt-oss-20b,fireworks_ai/accounts/fireworks/models/gpt-oss-20b,4,ast,4,Requests doesn't catch requests.packages.urllib3.exceptions.ProxyError,9968a10fcfad7268b552808c4f8946eecafc956a,254850,4817,0.019285,15,381.21,end_turn,1.0,0.5,0.6667,False,1,2,2,gpt-oss,small,fireworks,MoE,multi_file,125338,0.019285,0.019285
fireworks_ai_accounts_fireworks_models_gpt-oss-20b,gpt-oss-20b,fireworks_ai/accounts/fireworks/models/gpt-oss-20b,4,none,0,Requests doesn't catch requests.packages.urllib3.exceptions.ProxyError,9968a10fcfad7268b552808c4f8946eecafc956a,21471,4792,0.002941,11,210.07,submitted,1.0,0.5,0.6667,False,1,2,2,gpt-oss,small,fireworks,MoE,multi_file,9165,0.002941,0.002941
fireworks_ai_accounts_fireworks_models_gpt-oss-20b,gpt-oss-20b,fireworks_ai/accounts/fireworks/models/gpt-oss-20b,4,none,1,Requests doesn't catch requests.packages.urllib3.exceptions.ProxyError,9968a10fcfad7268b552808c4f8946eecafc956a,75281,3970,0.006461,18,310.81,submitted,1.0,0.5,0.6667,False,1,2,2,gpt-oss,small,fireworks,MoE,multi_file,4427,0.006461,0.006461
fireworks_ai_accounts_fireworks_models_gpt-oss-20b,gpt-oss-20b,fireworks_ai/accounts/fireworks/models/gpt-oss-20b,4,none,2,Requests doesn't catch requests.packages.urllib3.exceptions.ProxyError,9968a10fcfad7268b552808c4f8946eecafc956a,31838,2942,0.003111,14,183.92,submitted,1.0,0.5,0.6667,False,1,2,2,gpt-oss,small,fireworks,MoE,multi_file,16006,0.003111,0.003111
fireworks_ai_accounts_fireworks_models_gpt-oss-20b,gpt-oss-20b,fireworks_ai/accounts/fireworks/models/gpt-oss-20b,4,none,3,Requests doesn't catch requests.packages.urllib3.exceptions.ProxyError,9968a10fcfad7268b552808c4f8946eecafc956a,90286,3818,0.007465,20,176.72,max_turns,1.0,0.5,0.6667,False,1,2,2,gpt-oss,small,fireworks,MoE,multi_file,66695,0.007465,0.007465
fireworks_ai_accounts_fireworks_models_gpt-oss-20b,gpt-oss-20b,fireworks_ai/accounts/fireworks/models/gpt-oss-20b,4,none,4,Requests doesn't catch requests.packages.urllib3.exceptions.ProxyError,9968a10fcfad7268b552808c4f8946eecafc956a,45928,1900,0.003785,14,392.53,submitted,1.0,0.5,0.6667,False,1,2,2,gpt-oss,small,fireworks,MoE,multi_file,13923,0.003785,0.003785
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0,ast_compact,0,AttributeError: 'NoneType' object has no attribute 'read',ccabcf1fca906bfa6b65a3189c1c41061e6c1042,130003,2605,0.021063,15,27.01,end_turn,1.0,1.0,1.0,False,1,1,2,gpt-oss,large,fireworks,MoE,single_file,99684,0.021063,0.021063
fireworks_ai_accounts_fireworks_models_gpt-oss-120b,gpt-oss-120b,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0,ast_compact,1,AttributeError: 'NoneType' object has no attribute 'read',ccabcf1fca906bfa6b65a3189c1c41061e6c1042,116208,3164,0.01933,15,32.47,submitted,1.0,1.0,1.0,False,1,1,2,gpt-oss,large,fireworks,MoE,single_file,98349,0.01933,0.01933
